Episode,Epsilon,Avg_Coverage,Global_Coverage,Survival_Rate,Avg_Loss,Avg_Q,Stuck_Overrides
388,0.608,0.8568,0.8592,1.0,6.9128,20.8149,0
389,0.607,0.8674,0.8545,1.0,6.9885,20.7023,0
390,0.606,0.8253,0.8638,0.75,7.0846,20.7705,0
391,0.605,0.661,0.8592,0.75,6.9978,20.9211,0
392,0.604,0.8081,0.8545,1.0,7.0561,21.0043,0
393,0.603,0.8187,0.8545,0.75,6.9648,20.9843,1
394,0.602,0.8947,0.8545,1.0,6.994,20.9697,0
395,0.601,0.8669,0.8592,0.75,7.1283,20.8899,0
396,0.6,0.8561,0.8638,0.75,6.9314,20.9364,0
397,0.599,0.6001,0.8545,0.25,7.0395,20.9415,0
398,0.598,0.8845,0.8545,1.0,7.0565,20.9842,0
399,0.597,0.7829,0.8592,0.75,6.9923,20.9919,0
400,0.596,0.8554,0.8545,1.0,7.0072,20.7971,0
401,0.595,0.9031,0.8545,1.0,7.0118,21.0856,0
402,0.594,0.8144,0.8545,0.5,7.0259,21.3671,2
403,0.593,0.7193,0.8592,0.75,7.0729,21.1031,0
404,0.592,0.8333,0.8638,1.0,7.0553,21.2174,1
405,0.591,0.6696,0.8545,0.5,7.0815,21.0963,0
406,0.59,0.8734,0.8592,1.0,7.0555,21.1527,0
407,0.589,0.9104,0.8545,0.75,7.0322,21.384,0
408,0.588,0.8839,0.8545,1.0,6.9829,21.2972,1
409,0.587,0.739,0.8545,0.75,7.0959,21.4381,0
410,0.586,0.7434,0.8545,0.75,7.0431,21.2889,0
411,0.585,0.8671,0.8545,0.75,7.074,21.53,0
412,0.584,0.8697,0.8545,0.75,7.0404,21.379,0
413,0.583,0.8327,0.8545,1.0,6.9216,21.2095,0
414,0.582,0.6634,0.8592,0.5,7.1089,21.4151,0
415,0.581,0.8962,0.8545,0.75,6.9868,21.4791,0
416,0.58,0.901,0.8545,1.0,7.0985,21.5348,0
417,0.579,0.6616,0.8545,0.25,6.9691,21.6642,1
418,0.578,0.9129,0.8545,1.0,7.0575,21.4785,0
419,0.577,0.8324,0.8638,0.75,7.0574,21.5004,0
420,0.576,0.6631,0.8545,0.75,7.0459,21.5027,0
421,0.575,0.8721,0.8592,0.5,7.1082,21.9832,0
422,0.574,0.8002,0.8638,0.75,7.1586,21.9746,0
423,0.573,0.9167,0.8545,1.0,7.1499,21.9185,0
424,0.572,0.8035,0.8545,0.75,7.17,22.0363,0
425,0.571,0.8946,0.8592,1.0,7.0407,22.1492,0
426,0.57,0.8913,0.8592,1.0,7.0137,21.8658,0
427,0.569,0.9149,0.8545,1.0,7.037,21.9076,0
428,0.568,0.6967,0.8545,0.25,7.0672,21.9171,0
429,0.567,0.7307,0.8545,0.25,7.1657,21.7831,0
430,0.566,0.8724,0.8592,1.0,7.1022,21.9337,0
431,0.565,0.6383,0.6385,0.0,7.0309,21.6856,0
432,0.564,0.7821,0.8545,0.75,7.0897,21.8185,0
433,0.563,0.8309,0.8545,0.75,7.0413,21.6923,0
